id,email,password_hash,role
eb6efcdf-a27a-41ae-ac60-e71c92f6e8f1,sneha1@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
f18ec7ae-f847-466c-8f7b-2f922493fb4e,harsh2@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
43c801d1-65ba-45e3-b41a-934c108f04a7,bhavya3@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
dc86467e-98bc-4229-8908-e3177de9da0a,manish4@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
ef1413b5-1d6f-4e54-b461-a71ad20c3152,sanjay5@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
fa29de1c-3da0-4567-a732-ce74224b1eb1,mehak6@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
52efe35b-b702-43fc-957a-dbd1fb98a2cf,bhavya7@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
c64d9c3d-99b9-4b1c-a05a-664ef5fed7c1,harsh8@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
1297d1a3-3fbe-4877-bb14-249409975249,pranav9@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
d4a6bcf5-4624-4877-84e7-5a3f5fd86641,arjun10@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
e3b0bb36-b5bc-462b-9e6a-f38569532a13,janvi11@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
10ae4969-0c69-442d-9d12-e7821dc3ded4,vikas12@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
806d0693-8cf1-41aa-bc5e-3dba96b8d3c7,mehak13@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
c878d4a6-090c-4726-a0eb-0d6a9d740431,aniket14@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
958880e0-db82-4660-9303-c9b17307262e,rohan15@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
ed9f9fd4-c42a-419f-99b4-5ebbc2aa1177,mehak16@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
4d1b5348-a078-4699-b190-7615bf8af984,ananya17@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
9c0c87d3-11ca-4995-93dd-9e413e164194,sachin18@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
51f877fc-b8a6-4f05-b8ac-08aeae2e14c5,nisha19@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
21432e0b-9109-427d-862b-ae1ffb7a3009,dev20@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
d2519bf0-de9b-4e93-9873-3c45b2ed964b,aniket21@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
e8e38ec3-d7e7-465b-9e23-d12c3e949389,pranav22@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
0b58ea92-249b-4300-99ae-77b6faaa0a6f,akash23@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
fab812ce-c36e-4e7c-a3ab-41402939d774,utkarsh24@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
031fc4ad-dacd-4db4-960d-b61d723e50f4,khushi25@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
f06ecf25-cfa8-4ee9-bb13-0f99716e87b4,pranav26@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
965381a8-8c92-4bed-9abe-1fb673966b07,mehak27@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
47924d37-f040-4ffd-94e5-80b81d98b476,arjun28@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
6dd89187-6d34-4513-8e41-18194586262c,janvi29@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
dc3c6f7d-f6cf-420f-b3fb-d291a7c0afab,sameer30@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
9436d242-781c-453a-8d18-6c071f6b6ff3,aditya31@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
8fca01e2-c196-4b31-a86f-bf3bbd1e8e6e,ishita32@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
4d1e4fac-db4f-4d86-ba10-a487198e3fd6,karan33@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
674671a1-cf85-4148-806e-d0a1e9c3f27b,harsh34@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
1d3be89e-b950-4137-8329-e178849e3bcf,sachin35@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
a481949f-9bed-4003-bb3f-ad8eb4e81fba,khushi36@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
ea4d60b4-5006-40c9-8158-bbaf7c59ea68,sachin37@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
2550d0d6-3c96-4bcb-8688-b689ec79e2f8,riya38@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
3e94966c-303f-45ec-bdaf-b288ea2d211d,dev39@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
51204ec7-b2a6-489e-bd8f-a82f15960964,pooja40@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
f2389e63-1d48-4bd9-88fa-62be24e7f90f,aniket41@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
edd6b109-59ae-4f32-a025-c5d47a52c49b,pranav42@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
e7c71c04-16ed-4b51-b275-a813a9b2f212,anjali43@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
3f0c5084-84de-4161-82ac-39c3a8eff9de,pranav44@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
87f66e59-e15d-497e-b1a4-a405e613bb1a,yash45@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
523eca11-a63f-44c0-9d8d-52bdf4752d1f,sachin46@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
9154892e-17bd-4511-8fe5-19d7051c6351,nisha47@skit.ac.in,$2b$10$N9qo8uLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy,STUDENT
